nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
FDEPT00101,4851,2475,1,Tower,DEPT,Center for International Medicine,CIM
FDEPT00201,4830,3360,1,Tower,DEPT,Bretholtz Center for Patients and Families,Bretholtz WR
FDEPT00301,5163,2793,1,Tower,DEPT,Multifaith Chapel,Chapel
FDEPT00401,5382,3438,1,Tower,DEPT,Sharf Admitting Center,Sharf Center
FDEPT00501,6384,3900,1,Tower,DEPT,Emergency Department,Emergency
FDEPT00601,5340,3087,1,Tower,DEPT,International Patient Center,IPC
FEXIT00101,6051,2397,1,Tower,EXIT,Shattuck Street Lobby Exit,Shattuck St. Exit
FEXIT00201,5244,3963,1,Tower,EXIT,75 Francis Valet Drop-off,75 Francis Exit
FEXIT00301,6297,4071,1,Tower,EXIT,Emergency Department Entrance,Emergency Entrance
FHALL00101,6165,2730,1,Tower,HALL,Lower Pike Hallway Exit Lobby,Hallway F00101
FHALL00201,6078,2730,1,Tower,HALL,Lobby Shattuck Street,Hallway F00201
FHALL00301,6051,2730,1,Tower,HALL,Shattuck Street Lobby 1,Hallway F00301
FHALL00401,5919,2730,1,Tower,HALL,Shattuck Street Lobby 2,Hallway F00401
FHALL00501,5850,2730,1,Tower,HALL,Shattuck Street Lobby 3,Hallway F00501
FHALL00601,5607,2790,1,Tower,HALL,Tower Lobby Entrance 1,Tower Entrance
FHALL00701,5274,2790,1,Tower,HALL,Tower Elevator Entrance,Hallway F00701
FHALL00801,5274,2550,1,Tower,HALL,Tower Hallway 1,Hallway F00801
FHALL00901,4881,2550,1,Tower,HALL,Tower Hallway 2,Hallway F00901
FHALL01001,4881,2406,1,Tower,HALL,Tower Hallway 3,Hallway F01001
FHALL01101,4881,2790,1,Tower,HALL,Tower Hallway 4,Hallway F01101
FHALL01201,4644,2790,1,Tower,HALL,Tower Staff Entrance,Hallway F01201
FHALL01301,4881,2475,1,Tower,HALL,Tower Hallway 5,Hallway F01301
FHALL01401,4881,3087,1,Tower,HALL,Tower Hallway 6,Hallway F01401
FHALL01501,4881,3180,1,Tower,HALL,Tower Hallway 7,Hallway F01501
FHALL01601,5274,3180,1,Tower,HALL,Tower Hallway 8,Hallway F01601
FHALL01701,5163,2868,1,Tower,HALL,Tower Hallway 9,Hallway F01701
FHALL01801,5274,2868,1,Tower,HALL,Tower Hallway 10,Hallway F01801
FHALL01901,5274,3360,1,Tower,HALL,Tower Hallway 11,Hallway F01901
FHALL02001,5100,3360,1,Tower,HALL,Tower Hallway 12,Hallway F02001
FHALL02101,5307,3438,1,Tower,HALL,Tower Hallway Entrance,Tower Entrance 2
FHALL02201,5307,3840,1,Tower,HALL,Hallway Lobby Entrance,Entrance Hallway
FHALL02301,5535,3840,1,Tower,HALL,Lobby Hallway 1,Hallway F02301
FHALL02401,5895,3840,1,Tower,HALL,Lobby Hallway 2,Hallway F02401
FHALL02501,5895,3717,1,Tower,HALL,Lobby Hallway 3,Hallway F02501
FHALL02601,6078,3717,1,Tower,HALL,Lobby Hallway 4,Hallway F02601
FHALL02701,6198,3717,1,Tower,HALL,Lobby Hallway 7,Hallway F02701
FHALL02801,5244,3840,1,Tower,HALL,Lobby Entrance Hallway,HallwayF02801
FHALL02901,5100,3840,1,Tower,HALL,75 Lobby,75 Lobby
FHALL03001,4935,3738,1,Tower,HALL,Lobby Hallway 5,Hallway F02701
FHALL03101,6078,2928,1,Tower,HALL,Lobby Hallway 6,Hallway F02801
FHALL03201,5274,3087,1,Tower,HALL,Tower Hallway 13,Hallway F03201
FHALL03301,6198,3846,1,Tower,HALL,Emergency Hallway,Hallway F03301
FINFO00101,5100,3678,1,Tower,INFO,75 Lobby Information Desk,Lobby Info Desk
FLABS00101,5535,3750,1,Tower,LABS,Obstetrics Admitting,Obs Admitting
FREST00101,6273,2928,1,Tower,REST,Bathroom 75 Lobby,Bathroom Lobby
FRETL00101,5919,2532,1,Tower,RETL,Lobby Vending Machine,VM Lobby
FRETL00201,4827,3738,1,Tower,RETL,Au Bon Pain,ABP
FSERV00101,5850,2613,1,Tower,SERV,Shattuck Street Lobby ATM,Lobby ATM
FSERV00201,4815,3087,1,Tower,SERV,Tower Medical Cashier,Tower Cashier
FSERV00301,5100,3474,1,Tower,SERV,Kessler Library,Kessler Library
FSERV00401,5163,2910,1,Tower,DEPT,Spiritual Care Office,SCO
FSERV00501,4935,3840,1,Tower,SERV,75 Lobby Valet Cashier,Valet Cashier
FSTAI00101,6078,2676,1,Tower,STAI,Lobby Shattuck Street Stairs,Stairway F00101
FSTAI00201,5019,2406,1,Tower,STAI,Tower Stairway 1,Tower Stairs 1
FSTAI00301,5841,3717,1,Tower,STAI,Lobby Escalator,Lobby Escalator
WELEV00L01,5430,2790,1,Tower,ELEV,Elevator L Floor 1,Elevator L1
WELEV00M01,5430,3840,1,Tower,ELEV,Elevator M Floor 1,Elevator M1
HBATH00102,4815,3024,2,Tower,BATH,Bathroom 1 Tower Floor 2,Bathroom 0102
HDEPT00102,6165,3990,2,Tower,DEPT,Endoscopy,Endoscopy
HHALL00102,5625,2775,2,Tower,HALL,Hallway Connector 1 Floor 2,Hallway H00102
HHALL00202,5865,2700,2,Tower,HALL,Hallway Connector 2 Floor 2,Hallway H00202
HHALL00302,6105,2700,2,Tower,HALL,Hallway Connector 3 Floor 2,Hallway H00302
HHALL00402,5625,3075,2,Tower,HALL,Hallway Connector 4 Floor 2,Hallway H00402
HHALL00502,5475,3075,2,Tower,HALL,Hallway Connector 5 Floor 2,Hallway H00502
HHALL00602,5325,3240,2,Tower,HALL,Hallway Connector 6 Floor 2,Hallway H00602
HHALL00702,5220,3495,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway H00702
HHALL00802,5220,3690,2,Tower,HALL,Hallway Connector 8 Floor 2,Hallway H00802
HHALL00902,5220,3840,2,Tower,HALL,Hallway Connector 9 Floor 2,Hallway H00902
HHALL01002,6165,3840,2,Tower,HALL,Hallway Connector 10 Floor 2,Hallway H01002
HRETL00102,5805,2580,2,Tower,RETL,Garden Cafe,Garden Cafe
HRETL00202,4845,3075,2,Tower,RETL,Vending Machine Floor 2?,Vending Machine
HRETL00302,5475,3240,2,Tower,RETL,Gift Shop Tower Floor 2,Gift Shop
HSTAI00102,6180,2640,2,Tower,STAI,Stairwell 1 Floor 2,Stairwell 0102
HSTAI00202,5085,3495,2,Tower,STAI,Stairwell 2 Tower Floor 2,Stairwell 0202
HSTAI00302,5370,3690,2,Tower,STAI,Escalator 1 Floor 2,Escalator 1 Floor 2
WELEV00L02,5415,2775,2,Tower,ELEV,Elevator L Floor 2,Elevator L2
WELEV00M02,5475,3840,2,Tower,ELEV,Elevator M Floor 2,Elevator M2
WHALL00702,5220,4500,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway W0702
HBATH00103,5355,2490,3,Tower,BATH,Bathroom 1 Tower Floor 3,Bathroom 0103
HBATH00203,5250,2955,3,Tower,BATH,Bathroom 2 Tower Floor 3,Bathroom 0203
HDEPT00103,5175,2700,3,Tower,DEPT,Dialysis Waiting Room,Dialysis WR
HDEPT00203,5070,2490,3,Tower,DEPT,MICU 3BC Waiting Room,MICU 3BC WR
HHALL00103,3975,1965,3,Tower,HALL,Hallway Connector 1 Floor 3,Hallway H00103
HHALL00203,3705,2955,3,Tower,HALL,Hallway Connector 2 Floor 3,Hallway H00203
HHALL00303,3975,2955,3,Tower,HALL,Hallway Connector 3 Floor 3,Hallway H00303
HHALL00403,3975,3870,3,Tower,HALL,Hallway Connector 4 Floor 3,Hallway H00403
