equipID,equipType,equipLocID,isClean
bed001,BED,yPATI00103,1
bed002,BED,yPATI00203,1
bed003,BED,yPATI00303,1
bed004,BED,yPATI00403,1
bed005,BED,yPATI00503,1
bed006,BED,yPATI00603,1
bed007,BED,yPATI00703,1
bed008,BED,yPATI00803,1
bed009,BED,yPATI00903,1
bed010,BED,yPATI01003,1
bed011,BED,yPATI01103,1
bed012,BED,yPATI01203,1
bed013,BED,yPATI01303,1
bed014,BED,yPATI01403,1
bed015,BED,yPATI01503,1
bed016,BED,yPATI01603,1
bed017,BED,yPATI01703,1
bed018,BED,yPATI01803,1
bed019,BED,yPATI01903,1
bed020,BED,yPATI02003,1
bed021,BED,yPATI01104,1
bed022,BED,yPATI01204,1
bed023,BED,yPATI01304,1
bed024,BED,yPATI01404,1
bed025,BED,yPATI01504,1
bed026,BED,yPATI01604,1
bed027,BED,yPATI01704,1
bed028,BED,yPATI01804,1
bed029,BED,yPATI01904,1
bed030,BED,yPATI02004,1
bed031,BED,yPATI01105,1
bed032,BED,yPATI01205,1
bed033,BED,yPATI01305,1
bed034,BED,yPATI01405,1
bed035,BED,yPATI01505,1
bed036,BED,yPATI01605,1
bed037,BED,yPATI01705,1
bed038,BED,yPATI01805,1
bed039,BED,yPATI01905,1
bed040,BED,yPATI02005,1
Xray01,XRAY,ySTOR00103,1
Xray02,XRAY,ySTOR00104,1
Xray03,XRAY,ySTOR00105,1
infusionPump001,PUMP,ySTOR00203,1
infusionPump002,PUMP,ySTOR00203,1
infusionPump003,PUMP,ySTOR00203,1
infusionPump004,PUMP,ySTOR00203,1
infusionPump005,PUMP,ySTOR00203,1
infusionPump006,PUMP,ySTOR00203,1
infusionPump007,PUMP,ySTOR00203,1
infusionPump008,PUMP,ySTOR00203,1
infusionPump009,PUMP,ySTOR00203,1
infusionPump010,PUMP,ySTOR00203,1
infusionPump011,PUMP,ySTOR00203,1
infusionPump012,PUMP,ySTOR00203,1
infusionPump013,PUMP,ySTOR00203,1
infusionPump014,PUMP,ySTOR00203,1
infusionPump015,PUMP,ySTOR00203,1
infusionPump016,PUMP,ySTOR00203,1
infusionPump017,PUMP,ySTOR00203,1
infusionPump018,PUMP,ySTOR00203,1
infusionPump019,PUMP,ySTOR00203,1
infusionPump020,PUMP,ySTOR00203,1
infusionPump021,PUMP,ySTOR00203,1
infusionPump022,PUMP,ySTOR00203,1
infusionPump023,PUMP,ySTOR00203,1
infusionPump024,PUMP,ySTOR00203,1
infusionPump025,PUMP,ySTOR00203,1
infusionPump026,PUMP,ySTOR00203,1
infusionPump027,PUMP,ySTOR00203,1
infusionPump028,PUMP,ySTOR00203,1
infusionPump029,PUMP,ySTOR00203,1
infusionPump030,PUMP,ySTOR00203,1
infusionPump031,PUMP,ySTOR00204,1
infusionPump032,PUMP,ySTOR00204,1
infusionPump033,PUMP,ySTOR00204,1
infusionPump034,PUMP,ySTOR00204,1
infusionPump035,PUMP,ySTOR00204,1
infusionPump036,PUMP,ySTOR00204,1
infusionPump037,PUMP,ySTOR00204,1
infusionPump038,PUMP,ySTOR00204,1
infusionPump039,PUMP,ySTOR00204,1
infusionPump040,PUMP,ySTOR00204,1
infusionPump041,PUMP,ySTOR00204,1
infusionPump042,PUMP,ySTOR00204,1
infusionPump043,PUMP,ySTOR00204,1
infusionPump044,PUMP,ySTOR00204,1
infusionPump045,PUMP,ySTOR00204,1
infusionPump046,PUMP,ySTOR00205,1
infusionPump047,PUMP,ySTOR00205,1
infusionPump048,PUMP,ySTOR00205,1
infusionPump049,PUMP,ySTOR00205,1
infusionPump050,PUMP,ySTOR00205,1
infusionPump051,PUMP,ySTOR00205,1
infusionPump052,PUMP,ySTOR00205,1
infusionPump053,PUMP,ySTOR00205,1
infusionPump054,PUMP,ySTOR00205,1
infusionPump055,PUMP,ySTOR00205,1
infusionPump056,PUMP,ySTOR00205,1
infusionPump057,PUMP,ySTOR00205,1
infusionPump058,PUMP,ySTOR00205,1
infusionPump059,PUMP,ySTOR00205,1
infusionPump060,PUMP,ySTOR00205,1
patientRecliner01,RECLINER,HHALL00102,1
patientRecliner02,RECLINER,HHALL00202,1
patientRecliner03,RECLINER,HHALL00302,1
patientRecliner04,RECLINER,HHALL00402,1
patientRecliner05,RECLINER,HHALL00502,1
patientRecliner06,RECLINER,HHALL00602,1
patientRecliner07,RECLINER,yPATI00104,1
patientRecliner08,RECLINER,yPATI00204,1
patientRecliner09,RECLINER,yPATI00304,1
patientRecliner10,RECLINER,yPATI00404,1
patientRecliner11,RECLINER,yPATI00504,1
patientRecliner12,RECLINER,yPATI00105,1
patientRecliner13,RECLINER,yPATI00205,1
patientRecliner14,RECLINER,yPATI00305,1
patientRecliner15,RECLINER,yPATI00405,1
patientRecliner16,RECLINER,yPATI00505,1
